## htsjdk.samtools.metrics.StringHeader
# picard.sam.markduplicates.MarkDuplicates INPUT=[/projects/bmc-scc/user/med-sal/nobackup/GSE70245/data/HISAT2_OUT//SRR2077090_hisat.sorted.bam] OUTPUT=/projects/bmc-scc/user/med-sal/nobackup/GSE70245/data/HISAT2_OUT/SRR2077090_hisat.sorted_picard_deduplicated.bam METRICS_FILE=/projects/bmc-scc/user/med-sal/nobackup/GSE70245/data/HISAT2_OUT/SRR2077090_hisat.sorted_picard_metrix.txt REMOVE_DUPLICATES=true    MAX_SEQUENCES_FOR_DISK_READ_ENDS_MAP=50000 MAX_FILE_HANDLES_FOR_READ_ENDS_MAP=8000 SORTING_COLLECTION_SIZE_RATIO=0.25 REMOVE_SEQUENCING_DUPLICATES=false TAGGING_POLICY=DontTag ASSUME_SORTED=false DUPLICATE_SCORING_STRATEGY=SUM_OF_BASE_QUALITIES PROGRAM_RECORD_ID=MarkDuplicates PROGRAM_GROUP_NAME=MarkDuplicates READ_NAME_REGEX=<optimized capture of last three ':' separated fields as numeric values> OPTICAL_DUPLICATE_PIXEL_DISTANCE=100 VERBOSITY=INFO QUIET=false VALIDATION_STRINGENCY=STRICT COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_INDEX=false CREATE_MD5_FILE=false GA4GH_CLIENT_SECRETS=client_secrets.json
## htsjdk.samtools.metrics.StringHeader
# Started on: Wed Jan 25 14:02:09 CET 2017

## METRICS CLASS	picard.sam.DuplicationMetrics
LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	SECONDARY_OR_SUPPLEMENTARY_RDS	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE
Unknown Library	148859	1264675	766257	524787	138291	855824	0	0.690737	431970

## HISTOGRAM	java.lang.Double
BIN	VALUE
1.0	0.999999
2.0	1.05352
3.0	1.056384
4.0	1.056538
5.0	1.056546
6.0	1.056546
7.0	1.056546
8.0	1.056546
9.0	1.056546
10.0	1.056546
11.0	1.056546
12.0	1.056546
13.0	1.056546
14.0	1.056546
15.0	1.056546
16.0	1.056546
17.0	1.056546
18.0	1.056546
19.0	1.056546
20.0	1.056546
21.0	1.056546
22.0	1.056546
23.0	1.056546
24.0	1.056546
25.0	1.056546
26.0	1.056546
27.0	1.056546
28.0	1.056546
29.0	1.056546
30.0	1.056546
31.0	1.056546
32.0	1.056546
33.0	1.056546
34.0	1.056546
35.0	1.056546
36.0	1.056546
37.0	1.056546
38.0	1.056546
39.0	1.056546
40.0	1.056546
41.0	1.056546
42.0	1.056546
43.0	1.056546
44.0	1.056546
45.0	1.056546
46.0	1.056546
47.0	1.056546
48.0	1.056546
49.0	1.056546
50.0	1.056546
51.0	1.056546
52.0	1.056546
53.0	1.056546
54.0	1.056546
55.0	1.056546
56.0	1.056546
57.0	1.056546
58.0	1.056546
59.0	1.056546
60.0	1.056546
61.0	1.056546
62.0	1.056546
63.0	1.056546
64.0	1.056546
65.0	1.056546
66.0	1.056546
67.0	1.056546
68.0	1.056546
69.0	1.056546
70.0	1.056546
71.0	1.056546
72.0	1.056546
73.0	1.056546
74.0	1.056546
75.0	1.056546
76.0	1.056546
77.0	1.056546
78.0	1.056546
79.0	1.056546
80.0	1.056546
81.0	1.056546
82.0	1.056546
83.0	1.056546
84.0	1.056546
85.0	1.056546
86.0	1.056546
87.0	1.056546
88.0	1.056546
89.0	1.056546
90.0	1.056546
91.0	1.056546
92.0	1.056546
93.0	1.056546
94.0	1.056546
95.0	1.056546
96.0	1.056546
97.0	1.056546
98.0	1.056546
99.0	1.056546
100.0	1.056546

